Nombre de lapin moyen apres 20 ans ; 2.11153e+10 ; 21.1153

Mois ; Nombre de lapins moyens
0 ; 10
1 ; 19
2 ; 28
3 ; 35
4 ; 41
5 ; 47
6 ; 52
7 ; 56
8 ; 59
9 ; 62
10 ; 66
11 ; 68
12 ; 71
13 ; 83
14 ; 93
15 ; 103
16 ; 111
17 ; 119
18 ; 126
19 ; 132
20 ; 137
21 ; 142
22 ; 148
23 ; 152
24 ; 157
25 ; 199
26 ; 236
27 ; 268
28 ; 297
29 ; 323
30 ; 346
31 ; 366
32 ; 385
33 ; 401
34 ; 416
35 ; 431
36 ; 446
37 ; 550
38 ; 642
39 ; 724
40 ; 797
41 ; 862
42 ; 919
43 ; 971
44 ; 1018
45 ; 1059
46 ; 1098
47 ; 1137
48 ; 1173
49 ; 1439
50 ; 1675
51 ; 1884
52 ; 2069
53 ; 2232
54 ; 2378
55 ; 2507
56 ; 2622
57 ; 2725
58 ; 2825
59 ; 2920
60 ; 3011
61 ; 3773
62 ; 4448
63 ; 5047
64 ; 5579
65 ; 6054
66 ; 6474
67 ; 6852
68 ; 7181
69 ; 7476
70 ; 7755
71 ; 8022
72 ; 8282
73 ; 10458
74 ; 12381
75 ; 14082
76 ; 15595
77 ; 16935
78 ; 18129
79 ; 19191
80 ; 20139
81 ; 20978
82 ; 21791
83 ; 22559
84 ; 23300
85 ; 29444
86 ; 34898
87 ; 39721
88 ; 44000
89 ; 47781
90 ; 51195
91 ; 54199
92 ; 56913
93 ; 59304
94 ; 61600
95 ; 63816
96 ; 65936
97 ; 83599
98 ; 99282
99 ; 113110
100 ; 125530
101 ; 136487
102 ; 146222
103 ; 154882
104 ; 162651
105 ; 169498
106 ; 176080
107 ; 182448
108 ; 188530
109 ; 239390
110 ; 284468
111 ; 324403
112 ; 360010
113 ; 391614
114 ; 419462
115 ; 444270
116 ; 466587
117 ; 486417
118 ; 505424
119 ; 523662
120 ; 541168
121 ; 687192
122 ; 817298
123 ; 932744
124 ; 1034987
125 ; 1125755
126 ; 1207000
127 ; 1279165
128 ; 1342939
129 ; 1400042
130 ; 1455195
131 ; 1508137
132 ; 1558582
133 ; 1981245
134 ; 2352400
135 ; 2685598
136 ; 2980652
137 ; 3241302
138 ; 3471938
139 ; 3679455
140 ; 3865649
141 ; 4031314
142 ; 4188916
143 ; 4341611
144 ; 4486723
145 ; 5694653
146 ; 6765723
147 ; 7717950
148 ; 8561541
149 ; 9312138
150 ; 9983184
151 ; 10578890
152 ; 11108705
153 ; 11583662
154 ; 12031950
155 ; 12466398
156 ; 12879857
157 ; 16373716
158 ; 19466764
159 ; 22208846
160 ; 24662128
161 ; 26832946
162 ; 28765171
163 ; 30486589
164 ; 32023375
165 ; 33394052
166 ; 34694349
167 ; 35950179
168 ; 37149168
169 ; 47161150
170 ; 56024164
171 ; 63912024
172 ; 70908145
173 ; 77117148
174 ; 82658340
175 ; 87591977
176 ; 91992960
177 ; 95900975
178 ; 99684687
179 ; 103302583
180 ; 106739244
181 ; 135561574
182 ; 161253302
183 ; 183957985
184 ; 204125354
185 ; 222101958
186 ; 238017321
187 ; 252181758
188 ; 264818424
189 ; 276166294
190 ; 286875058
191 ; 297386401
192 ; 307298102
193 ; 390237839
194 ; 463983631
195 ; 529235244
196 ; 587310889
197 ; 638663644
198 ; 684646996
199 ; 725534247
200 ; 761928899
201 ; 794536208
202 ; 826022435
203 ; 856200281
204 ; 884709696
205 ; 1123074554
206 ; 1334832317
207 ; 1523563703
208 ; 1691345579
209 ; 1838824558
210 ; 1970159053
211 ; 2086939979
212 ; 2191424302
213 ; 2285792973
214 ; 2375972000
215 ; 2462527262
216 ; 2545267984
217 ; 3233941814
218 ; 3843574493
219 ; 4384964780
220 ; 4864804091
221 ; 5292162248
222 ; 5673795472
223 ; 6016289167
224 ; 6316252207
225 ; 6587593229
226 ; 6844258574
227 ; 7091281724
228 ; 7328415981
229 ; 9311895729
230 ; 11073683442
231 ; 12637966415
232 ; 14020364190
233 ; 15257419542
234 ; 16356250853
235 ; 17337276147
236 ; 18201618820
237 ; 18977577266
238 ; 19715805576
239 ; 20432527864
Categorie ; Nombre de lapins moyens par categorie
0 ; 2694303771
1 ; 2356171370
2 ; 2069320767
3 ; 1814347561
4 ; 1589543209
5 ; 1399474207
6 ; 1225178752
7 ; 1076138031
8 ; 943969830
9 ; 905147950
10 ; 866961162
11 ; 829682253
12 ; 276283335
13 ; 264763492
14 ; 252526694
15 ; 242580597
16 ; 233030374
17 ; 221867813
18 ; 214744596
19 ; 205665564
